Station Name,lovelyDay871,,,,,,
Download Time,Sun Feb 18 2018 16:59:12 GMT-0600,,,,,,
,,,,,,,
N,Date,Temp F,Temp C,Flow l/s,Pump,dhtTemp C,dhtRH %
86,Sun Feb 18 2018 16:56:43 GMT-0600,80.46,27.45,0.67,1,21.6,40.2
87,Sun Feb 18 2018 16:56:44 GMT-0600,84.09,27.78,0.67,1,21.7,40.3
88,Sun Feb 18 2018 16:56:45 GMT-0600,81.41,27.25,0.67,1,21.6,40.2
89,Sun Feb 18 2018 16:56:46 GMT-0600,81.63,27.25,0.67,1,21.7,40.3
90,Sun Feb 18 2018 16:56:47 GMT-0600,80.08,26.71,0.67,1,21.7,40.3
91,Sun Feb 18 2018 16:56:48 GMT-0600,81.63,27.57,0.67,1,21.6,40.2
92,Sun Feb 18 2018 16:56:49 GMT-0600,80.67,26.22,0.67,1,21.6,40.2
93,Sun Feb 18 2018 16:56:50 GMT-0600,81.63,27.78,0.67,1,21.6,40.1
94,Sun Feb 18 2018 16:56:51 GMT-0600,83.33,26.15,0.67,1,21.6,40
95,Sun Feb 18 2018 16:56:52 GMT-0600,81.63,27.45,0.67,1,21.7,40
96,Sun Feb 18 2018 16:56:53 GMT-0600,80.46,27.57,0.66,1,21.6,39.9
97,Sun Feb 18 2018 16:56:54 GMT-0600,80.67,26.59,0.67,1,21.7,39.9
98,Sun Feb 18 2018 16:56:55 GMT-0600,81.05,27.66,0.67,1,21.7,39.8
99,Sun Feb 18 2018 16:56:56 GMT-0600,81.63,27.45,0.67,1,21.7,39.9
100,Sun Feb 18 2018 16:56:57 GMT-0600,82.31,29.08,0.67,1,21.7,39.9
101,Sun Feb 18 2018 16:56:58 GMT-0600,81.63,27.78,0.67,1,21.6,39.8
102,Sun Feb 18 2018 16:56:59 GMT-0600,82,27.78,0.67,1,21.6,39.8
103,Sun Feb 18 2018 16:57:00 GMT-0600,78.94,27.78,0.67,1,21.7,39.8
104,Sun Feb 18 2018 16:57:01 GMT-0600,79.72,28.28,0.67,1,21.7,39.8
105,Sun Feb 18 2018 16:57:02 GMT-0600,81.05,27.9,0.67,1,21.6,39.8
106,Sun Feb 18 2018 16:57:03 GMT-0600,80.46,27.13,0.66,1,21.6,39.8
107,Sun Feb 18 2018 16:57:04 GMT-0600,81.41,27.45,0.67,1,21.7,39.9
108,Sun Feb 18 2018 16:57:05 GMT-0600,81.63,27.45,0.67,1,21.6,39.8
109,Sun Feb 18 2018 16:57:06 GMT-0600,81.05,26.92,0.67,1,21.7,40
110,Sun Feb 18 2018 16:57:07 GMT-0600,81.63,27.37,0.66,1,21.7,40
111,Sun Feb 18 2018 16:57:08 GMT-0600,80.83,28.28,0.66,1,21.7,40.1
112,Sun Feb 18 2018 16:57:09 GMT-0600,81.41,27.66,0.67,1,21.6,40.1
113,Sun Feb 18 2018 16:57:10 GMT-0600,81.63,27.78,0.67,1,21.7,40.3
114,Sun Feb 18 2018 16:57:11 GMT-0600,81.41,27.45,0.67,1,21.7,40.3
115,Sun Feb 18 2018 16:57:12 GMT-0600,79.72,27.45,0.67,1,21.6,40.2
116,Sun Feb 18 2018 16:57:13 GMT-0600,80.46,27.37,0.67,1,21.7,40.3
117,Sun Feb 18 2018 16:57:14 GMT-0600,81.63,27.45,0.67,1,21.7,40.3
118,Sun Feb 18 2018 16:57:15 GMT-0600,81.05,27.57,0.67,1,21.6,40.2
119,Sun Feb 18 2018 16:57:16 GMT-0600,81.63,27.78,0.67,1,21.7,40.3
120,Sun Feb 18 2018 16:57:17 GMT-0600,81.63,27.25,0.67,1,21.7,40.3
121,Sun Feb 18 2018 16:57:18 GMT-0600,80.67,29.08,0.67,1,21.7,40.3
122,Sun Feb 18 2018 16:57:19 GMT-0600,81.05,27.45,0.67,1,21.7,40.3
123,Sun Feb 18 2018 16:57:20 GMT-0600,82.58,27.07,0.67,1,21.7,40.3
124,Sun Feb 18 2018 16:57:21 GMT-0600,81.05,27.13,0.67,1,21.7,40.3
125,Sun Feb 18 2018 16:57:22 GMT-0600,81.05,27.45,0.67,1,21.7,40.3
126,Sun Feb 18 2018 16:57:23 GMT-0600,79.86,27.66,0.67,1,21.7,40.3
127,Sun Feb 18 2018 16:57:24 GMT-0600,81.63,27.78,0.67,1,21.7,40.3
128,Sun Feb 18 2018 16:57:25 GMT-0600,81.05,27.9,0.67,1,21.7,40.3
129,Sun Feb 18 2018 16:57:26 GMT-0600,81.05,27.78,0.66,1,21.7,40.3
130,Sun Feb 18 2018 16:57:27 GMT-0600,81.05,27.9,0.67,1,21.7,40.3
131,Sun Feb 18 2018 16:57:28 GMT-0600,81.05,28.43,0.67,1,21.7,40.3
132,Sun Feb 18 2018 16:57:29 GMT-0600,81.41,27.37,0.67,1,21.7,40.2
133,Sun Feb 18 2018 16:57:30 GMT-0600,82,27.33,0.67,1,21.7,40.1
134,Sun Feb 18 2018 16:57:31 GMT-0600,80.46,27.45,0.67,1,21.7,40
135,Sun Feb 18 2018 16:57:32 GMT-0600,81.41,27.45,0.67,1,21.7,40
136,Sun Feb 18 2018 16:57:33 GMT-0600,81.41,27.78,0.67,1,21.7,39.9
137,Sun Feb 18 2018 16:57:34 GMT-0600,82.96,27.45,0.67,1,21.7,39.8
138,Sun Feb 18 2018 16:57:35 GMT-0600,81.41,27.78,0.67,1,21.7,39.7
139,Sun Feb 18 2018 16:57:36 GMT-0600,82.22,27.66,0.67,1,21.7,39.7
140,Sun Feb 18 2018 16:57:37 GMT-0600,82,27.01,0.67,1,21.7,39.6
141,Sun Feb 18 2018 16:57:38 GMT-0600,80.83,27.45,0.67,1,21.7,39.5
142,Sun Feb 18 2018 16:57:39 GMT-0600,80.83,26.71,0.67,1,21.7,39.5
143,Sun Feb 18 2018 16:57:40 GMT-0600,82.9,27.45,0.67,1,21.7,39.6
